Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Angola,Angola,MEA,2027,Units,,41384000.0,-2.949,63.473,35.37,2.506,34.74,300.0
Angola,Angola,MEA,2027,Units,,41384000.0,-2.949,63.473,35.37,2.506,34.74,130.0
Angola,Angola,MEA,2027,Millions,,42096000.0,-2.782,63.126000000000005,34.951499999999996,2.683,34.1925,300.0
Angola,Angola,MEA,2027,Millions,,42096000.0,-2.782,63.126000000000005,34.951499999999996,2.683,34.1925,130.0
Angola,Angola,MEA,2028,Units,,42832500.0,-2.615,62.779,34.533,2.86,33.645,250.0
Angola,Angola,MEA,2028,Units,,42832500.0,-2.615,62.779,34.533,2.86,33.645,185.0
Angola,Angola,MEA,2028,Millions,,43569000.0,-2.5815,62.3035,34.067,2.9154999999999998,33.17700000000001,250.0
Angola,Angola,MEA,2028,Millions,,43569000.0,-2.5815,62.3035,34.067,2.9154999999999998,33.17700000000001,185.0
Angola,Angola,MEA,2029,Units,,44331500.0,-2.548,61.828,33.601,2.971,32.709,200.0
Angola,Angola,MEA,2029,Units,,44331500.0,-2.548,61.828,33.601,2.971,32.709,240.0
Angola,Angola,MEA,2029,Millions,,45094000.0,-2.4690000000000003,61.344,33.192,3.0275,32.272000000000006,200.0
Angola,Angola,MEA,2029,Millions,,45094000.0,-2.4690000000000003,61.344,33.192,3.0275,32.272000000000006,240.0
Angola,Angola,MEA,2030,Units,,45883500.0,-2.39,60.86,32.783,3.084,31.835,150.0
Angola,Angola,MEA,2030,Units,,45883500.0,-2.39,60.86,32.783,3.084,31.835,290.0
Angola,Angola,MEA,2030,Millions,,46673000.0,-2.39,60.86,32.783,3.084,31.835,150.0
Angola,Angola,MEA,2030,Millions,,46673000.0,-2.39,60.86,32.783,3.084,31.835,290.0
Argentina,Argentina,LAC,2022,Units,,46235000.0,-3.836,84.303,17.281,6.021,17.906,1075.0
Argentina,Argentina,LAC,2022,Units,,46235000.0,-3.836,84.303,17.281,6.021,17.906,929.0
Argentina,Argentina,LAC,2022,Millions,,46235000.0,-4.583,119.452,16.5895,2.0825,18.500999999999998,1075.0
Argentina,Argentina,LAC,2022,Millions,,46235000.0,-4.583,119.452,16.5895,2.0825,18.500999999999998,929.0
Argentina,Argentina,LAC,2023,Units,,46445000.0,-5.33,154.601,15.898,-1.856,19.096,1375.0
Argentina,Argentina,LAC,2023,Units,,46445000.0,-5.33,154.601,15.898,-1.856,19.096,1745.0
Argentina,Argentina,LAC,2023,Millions,,46655000.0,-2.436,119.62700000000001,16.310499999999998,-1.5995,17.4625,1375.0
Argentina,Argentina,LAC,2023,Millions,,46655000.0,-2.436,119.62700000000001,16.310499999999998,-1.5995,17.4625,1745.0
Argentina,Argentina,LAC,2024,Units,,46888000.0,0.458,84.653,16.723,-1.343,15.829,958.0
Argentina,Argentina,LAC,2024,Units,,46888000.0,0.458,84.653,16.723,-1.343,15.829,1482.0
Argentina,Argentina,LAC,2024,Millions,,47121000.0,0.42300000000000004,81.747,15.152999999999999,1.561,15.297,958.0
Argentina,Argentina,LAC,2024,Millions,,47121000.0,0.42300000000000004,81.747,15.152999999999999,1.561,15.297,1482.0
Argentina,Argentina,LAC,2025,Units,,47356500.0,0.388,78.841,13.583,4.465,14.765,148.0
Argentina,Argentina,LAC,2025,Units,,47356500.0,0.388,78.841,13.583,4.465,14.765,2172.0
